Datum,Nachricht
2016-07-06T21:30:00.000+02:00,→ LONG ORDER PENDING gesetzt: Entry=5.11 SL=5.01
2016-07-06T21:30:00.000+02:00,──── Order Berechnung ────
2016-07-06T21:30:00.000+02:00,Equity=9865.5 | Risk%=1 | Risk$=98.66 | pointvalue=1 | mintick=0.01
2016-07-06T21:30:00.000+02:00,Entry=5.11 | SL=5.01 | SL-Dist=0.10 | Loss/Kontrakt=0.1025 | Qty=962.48817756
2016-07-06T21:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=962.48817756 Entry(Stop)=5.11 SL=5.01
2016-07-07T15:30:00.000+02:00,──── Order Berechnung ────
2016-07-07T15:30:00.000+02:00,Equity=9865.5 | Risk%=1 | Risk$=98.66 | pointvalue=1 | mintick=0.01
2016-07-07T15:30:00.000+02:00,Entry=5.11 | SL=5.01 | SL-Dist=0.10 | Loss/Kontrakt=0.1025 | Qty=962.48817756
2016-07-07T15:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=962.48817756 Entry(Stop)=5.11 SL=5.01
2016-07-07T17:30:00.000+02:00,──── Order Berechnung ────
2016-07-07T17:30:00.000+02:00,Equity=9865.5 | Risk%=1 | Risk$=98.66 | pointvalue=1 | mintick=0.01
2016-07-07T17:30:00.000+02:00,Entry=5.11 | SL=5.01 | SL-Dist=0.10 | Loss/Kontrakt=0.1025 | Qty=962.48817756
2016-07-07T17:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=962.48817756 Entry(Stop)=5.11 SL=5.01
2016-07-07T19:30:00.000+02:00,──── Order Berechnung ────
2016-07-07T19:30:00.000+02:00,Equity=9865.5 | Risk%=1 | Risk$=98.66 | pointvalue=1 | mintick=0.01
2016-07-07T19:30:00.000+02:00,Entry=5.11 | SL=5.01 | SL-Dist=0.10 | Loss/Kontrakt=0.1025 | Qty=962.48817756
2016-07-07T19:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=962.48817756 Entry(Stop)=5.11 SL=5.01
2016-07-07T21:30:00.000+02:00,──── Order Berechnung ────
2016-07-07T21:30:00.000+02:00,Equity=9865.5 | Risk%=1 | Risk$=98.66 | pointvalue=1 | mintick=0.01
2016-07-07T21:30:00.000+02:00,Entry=5.11 | SL=5.01 | SL-Dist=0.10 | Loss/Kontrakt=0.1025 | Qty=962.48817756
2016-07-07T21:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=962.48817756 Entry(Stop)=5.11 SL=5.01
2016-07-08T15:30:00.000+02:00,──── Order Berechnung ────
2016-07-08T15:30:00.000+02:00,Equity=9865.5 | Risk%=1 | Risk$=98.66 | pointvalue=1 | mintick=0.01
2016-07-08T15:30:00.000+02:00,Entry=5.11 | SL=5.01 | SL-Dist=0.10 | Loss/Kontrakt=0.1025 | Qty=962.48817756
2016-07-08T15:30:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=962.48817756 Entry(Stop)=5.11 SL=5.01
2016-07-08T17:30:00.000+02:00,✓ POSITION ERÖFFNET: Richtung=LONG | Size=962 | Trail SL wird gesetzt auf 5.01
2016-07-11T15:30:00.000+02:00,✓ LONG BREAKEVEN aktiviert: Trail SL → 5.11
2016-07-11T15:30:00.000+02:00,✓ PARTIAL TP LONG: 50% = 481 Einheiten geschlossen
2016-07-11T21:30:00.000+02:00,"♻ RESET: Position geschlossen, alle Variablen zurückgesetzt"
2016-08-04T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-08-04T21:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-08-04T21:30:00.000+02:00,FH Preis=6.61 | H2_EMA20=6.47 | Abstand=2.13%
2016-08-04T21:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.13% > Max=2%
2016-08-05T21:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-08-05T21:30:00.000+02:00,FH Preis=6.76 | H2_EMA20=6.53 | Abstand=3.52%
2016-08-05T21:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=3.52% > Max=2%
2016-08-08T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-08-08T19:30:00.000+02:00,FH Preis=6.85 | H2_EMA20=6.57 | Abstand=4.18%
2016-08-08T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=4.18% > Max=2%
2016-08-09T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-08-09T19:30:00.000+02:00,FH Preis=6.77 | H2_EMA20=6.59 | Abstand=2.67%
2016-08-09T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.67% > Max=2%
2016-08-11T15:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-08-11T21:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-08-12T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-08-12T19:30:00.000+02:00,FH Preis=6.79 | H2_EMA20=6.59 | Abstand=2.99%
2016-08-12T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.99% > Max=2%
2016-08-16T17:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-08-16T17:30:00.000+02:00,FH Preis=6.97 | H2_EMA20=6.71 | Abstand=3.76%
2016-08-16T17:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=3.76% > Max=2%
2016-08-18T21:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-09-02T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-09-02T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-09-02T19:30:00.000+02:00,FH Preis=7.64 | H2_EMA20=7.45 | Abstand=2.53%
2016-09-02T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.53% > Max=2%
2016-09-06T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-09-06T19:30:00.000+02:00,FH Preis=7.60 | H2_EMA20=7.41 | Abstand=2.51%
2016-09-06T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.51% > Max=2%
2016-09-07T17:30:00.000+02:00,──── LONG: Fractal High gefunden ────
