time,open,high,low,close
1771301940,24543.8,24552.4,24542.5,24550.6
1771302000,24550.5,24556.2,24549.9,24552.8
1771302060,24553.3,24557.6,24551.2,24553
1771302120,24553.3,24557.6,24553.3,24554.9
1771302180,24554.8,24555,24550.7,24553.3
1771302240,24553.1,24553.4,24545.5,24549.8
1771302300,24549.6,24554.1,24544.7,24549.6
1771302360,24549.7,24555,24549.7,24551.7
1771302420,24551.8,24555.1,24548.8,24552.6
1771302480,24552.9,24558.7,24550.3,24555.9
1771302540,24556,24557,24552.7,24554.2
1771302600,24554.3,24555.1,24540.5,24540.7
1771302660,24540.5,24540.6,24534.5,24539.9
1771302720,24539.8,24539.8,24529.2,24530.4
1771302780,24530.5,24535.7,24523.9,24528.1
1771302840,24529.1,24533.7,24528.1,24532.8
1771302900,24532.6,24543.3,24531.8,24543.3
1771302960,24542.6,24543.3,24533.6,24538.6
1771303020,24538.4,24540.4,24535.5,24538.9
1771303080,24538.7,24540.3,24537,24537
1771303140,24537.1,24538.8,24535.2,24538.2
1771303200,24538.3,24542,24538.2,24540.9
1771303260,24540.2,24543.3,24535.8,24538.7
1771303320,24539.3,24539.8,24535.4,24536.8
1771303380,24536.7,24540.6,24533.8,24539.8
1771303440,24539.9,24541.6,24537.9,24540.9
1771303500,24541.2,24543.3,24537.8,24542.9
1771303560,24543.1,24543.1,24539.3,24539.3
1771303620,24539.2,24545.7,24538.5,24545.5
1771303680,24545.3,24552.9,24545.3,24548.3
1771303740,24548.1,24548.1,24542.7,24543.4
1771303800,24543.2,24544.2,24539.2,24542.6
1771303860,24542.5,24544.1,24540.5,24543.4
1771303920,24543.5,24549.6,24543.5,24549.6
1771303980,24549.5,24550.7,24543.3,24543.6
1771304040,24543.5,24546.7,24542.5,24545.4
1771304100,24545.6,24546.4,24544.4,24545.2
1771304160,24545.1,24552.6,24544,24551.9
1771304220,24552.5,24552.9,24548.2,24552
1771304280,24551.2,24554.1,24550.9,24552
1771304340,24552.2,24554.2,24551.3,24552.7
1771304400,24553.1,24556.6,24547.7,24548.4
1771304460,24548.6,24554.2,24548.6,24550.6
1771304520,24550,24553.2,24546.5,24547.2
1771304580,24548,24550.7,24545.4,24545.6
1771304640,24546.3,24546.3,24539.9,24544.5
1771304700,24544.7,24544.7,24539.3,24540.6
1771304760,24540.9,24543.5,24537.9,24539.7
1771304820,24540.1,24543.1,24539.3,24541.5
1771304880,24541.7,24544.8,24536.5,24537.1
1771304940,24537.2,24544.4,24535.8,24544
1771305000,24543.6,24547.9,24538.9,24545.8
1771305060,24545.9,24546.4,24541.4,24544.5
